YuJ_2015	ERR475501	ERR475502	ERR475503	ERR475504	ERR475505	ERR475506	ERR475507	ERR475508	ERR475509	ERR475510
k__Bacteria	98.80789	99.9972	75.21588	99.99682	99.25649	94.47816	99.98368	100	99.9969	98.77049
k__Viruses	0.59914	0.0028	0.03881	0	0.74351	5.52063	0.01547	0	0	1.22867
k__Archaea	0.59297	0	24.74531	0.00318	0	0.00121	0.00085	0	0.0031	0.00084
k__Bacteria|p__Verrucomicrobia	31.87952	19.43741	0.01785	7.70884	17.78972	0.00752	0.00811	0.01055	0.01272	0.40143
k__Bacteria|p__Firmicutes	30.72409	37.43995	21.16644	64.88595	28.17715	9.39823	58.65965	51.22363	22.14662	27.233
k__Bacteria|p__Proteobacteria	20.1264	7.33189	0.55901	3.6672	1.77801	2.51267	20.81013	6.49601	30.45619	26.91663
k__Bacteria|p__Bacteroidetes	13.41141	32.96518	5.40671	18.15999	30.34047	81.75967	4.27374	30.13327	46.49909	43.55529
k__Bacteria|p__Actinobacteria	2.61871	1.95018	48.0607	5.52754	21.1638	0.79415	16.23205	11.74318	0.53404	0.59828
k__Viruses|p__Viruses_noname	0.59914	0.0028	0.03881	0	0.74351	5.52063	0.01547	0	0	1.22867
k__Archaea|p__Euryarchaeota	0.59297	0	24.74531	0.00318	0	0.00121	0.00085	0	0.0031	0.00084
k__Bacteria|p__Fusobacteria	0.02622	0.84244	0	0.03866	0.00291	0	0	0.38102	0.34825	0.06586
k__Bacteria|p__Candidatus_Saccharibacteria	0.01612	0.03015	0.00518	0.00615	0	0.00593	0	0.01233	0	0
k__Bacteria|p__Acidobacteria	0.0029	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus	0.00252	0	0	0.00249	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	31.87952	19.43741	0.01785	7.70884	17.78972	0.00752	0.00811	0.01055	0.01272	0.40143
k__Bacteria|p__Firmicutes|c__Clostridia	25.5702	35.83443	16.15946	59.44497	27.93068	9.20737	54.16597	20.86101	18.51868	17.42939
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	19.11527	6.38759	0.47528	1.186	0.68862	1.50506	20.80608	0.77832	29.95103	25.40513
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	13.4076	32.96518	5.40671	18.15999	30.34047	81.75967	4.27374	30.13327	46.4925	43.55529
k__Bacteria|p__Firmicutes|c__Negativicutes	3.68748	0.64121	0.73459	0.01571	0.06583	0.02813	0.04198	29.70733	3.57249	1.6347
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.61871	1.95018	48.0607	5.52754	21.1638	0.79415	16.23205	11.74318	0.53404	0.59828
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.82093	0.85359	0.07049	2.20147	1.04702	0.97222	0.00405	0.32254	0.45522	0.8925
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.80687	0.37303	2.68504	4.45826	0.07516	0.1238	0.15921	0.33136	0.03111	0.59691
k__Bacteria|p__Firmicutes|c__Bacilli	0.65953	0.59128	1.58735	0.96701	0.10548	0.03893	4.29248	0.32393	0.02434	7.572
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.59914	0.0028	0.03881	0	0.74351	5.52063	0.01547	0	0	1.22867
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.59297	0	24.736	0.00318	0	0.00121	0.00085	0	0.0031	0.00084
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.1902	0.09071	0.01323	0.27973	0.04237	0.03538	0	5.39428	0.04994	0.619
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.02622	0.84244	0	0.03866	0.00291	0	0	0.38102	0.34825	0.06586
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.01612	0.03015	0.00518	0.00615	0	0.00593	0	0.01233	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.00381	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.0029	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.00252	0	0	0.00249	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	31.87952	19.43741	0.01785	7.70884	17.78972	0.00752	0.00811	0.01055	0.01272	0.40143
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	25.5702	35.83443	16.15946	59.44497	27.93068	9.20737	54.16597	20.86101	18.51868	17.42939
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	19.11513	5.81911	0.46917	1.186	0.64838	1.50378	20.80289	0.75564	29.95103	23.00614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	13.4076	32.96518	5.40671	18.15999	30.34047	81.75967	4.27374	30.13327	46.4925	43.55529
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.68748	0.64121	0.73459	0.01571	0.06583	0.02813	0.04198	29.70733	3.57249	1.6347
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.28708	0.57476	37.27866	1.84551	20.36757	0.05272	9.41485	11.45671	0.23735	0.03726
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.11473	1.36982	10.68828	3.66997	0.79135	0.74143	6.67629	0.23254	0.29668	0.50451
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.82093	0.85359	0.07049	2.20147	1.04702	0.97222	0.00405	0.32254	0.45522	0.8925
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.80687	0.37303	2.68504	4.45826	0.07516	0.1238	0.15921	0.33136	0.03111	0.59691
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.59914	0	0	0	0.72883	0	0	0	0	1.2172
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.59297	0	24.736	0.00318	0	0.00121	0.00085	0	0.0031	0.00084
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.33368	0.21423	1.03372	0.00197	0.02656	0	0.01071	0.17572	0	0.04639
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.32585	0.37705	0.55363	0.96504	0.07892	0.03893	4.28177	0.14821	0.02434	7.5256
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.21691	0.00561	0.09376	0.01207	0.00488	0	0.1409	0.05392	0	0.05651
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.1902	0.09007	0.01323	0.27973	0.04237	0.03538	0	5.39428	0.04994	0.619
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.02622	0.84244	0	0.03866	0.00291	0	0	0.38102	0.34825	0.06586
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.01612	0.03015	0.00518	0.00615	0	0.00593	0	0.01233	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.00381	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.0029	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.00252	0	0	0.00249	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.00013	0	0	0	0	0	0	0	0	0
