id,name,project_id1,project_id2,curated_description,num_of_samples,num_of_runs,population,related_publications,original_description,created_at,updated_at
1,PRJDB4038,PRJDB4038,DRP003166,NULL,239,239,0,27340092,Infant gut microbiota development in the 1st month of life. V1-V2 resion of 16S rRNA gene. approximately 17 sample per infant,2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
2,PRJDB4360,PRJDB4360,DRP003135,NULL,469,469,0,27220822,Fecal samples from 367 healthy Japanese subjects were analyzed by high-throughput sequencing of amplicons derived from the V3-V4 region of the 16S rRNA gene.,2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
3,PRJDB4871,PRJDB4871,DRP003306,NULL,66,66,0,24402126,"Patients with pediatric Primary Sclesrosing Cholangitis (PSC) compared with Ulcerative Colitis (UC) and healthy controls. After purifying the bacterial DNA from sample feces, the 16S rDNA V1-V2 region was sequenced for analysis of the bacterial communities. There were fourteen PSC patients and one UC patient were taking salazosulfapyridine (SASP).",2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
4,PRJDB4998,PRJDB4998,DRP003338,NULL,516,516,0,27894251,Fecal microbiota of Japanese healthy adults. 16s rRNA gene library of V1-V2 hyper variable regions derived from the fecal samples of 516 subjects.,2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
5,PRJDB5442,PRJDB5442,DRP004054,NULL,40,40,0,28628918,"BACKGROUND/AIMS: &#10;Dysbiosis is associated with various systemic disorders including irritable bowel syndrome (IBS). Fecal microbiota transplantation (FMT) might restore intestinal microbial balance. The study aimed to determine the safety and efficacy of FMT in IBS patients, as well as also positive predictors for FMT.&#10;METHODS: &#10;This was a single-arm, open-label study. Eligible patients were diagnosed based on Rome III Diagnostic Criteria. Fecal materials were administered to the patient via colonoscopy. The primary end point was a change in the Bristol stool form scale at 4 weeks after FMT. Recovery to types 3-4 was considered a clinical response. The secondary end point was a change in intestinal microbiota and psychological status using the Hamilton Rating Scale.&#10;RESULTS: &#10;Ten patients were enrolled. Six patients achieved a clinical response. The diversity of patients 4 weeks after FMT increased significantly compared with patients before FMT, and that of responding patients was significantly higher than non-responder patients. The abundance of Bifidobacterium in effective donors was significantly higher than in ineffective donors and patients. Psychological status of all patients was significantly improved after FMT.&#10;CONCLUSIONS: &#10;FMT for patients with IBS is safe, and relatively effective. Bifidobacterium-rich fecal donor may be a positive predictor for successful FMT. Key Summary: (1) Dysbiosis is associated with various gastrointestinal disorders including IBS. (2) FMT has potential to restore intestinal microbial balance. (3) We showed that FMT improved stool form and psychological status of IBS patients. (4) Bifidobacterium-rich donor efficiently induced symbiosis in IBS patients.",2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
6,PRJEB11419,PRJEB11419,ERP012803,NULL,12123,14589,0,29795809,"The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America. As the project continues to grow, we will be able to identify significant associations that would not be possible with smaller, geographically and health/disease status-limited cohorts.",2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
7,PRJEB1220,PRJEB1220,ERP002061,NULL,351,837,0,24997787,"The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host",2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
8,PRJEB12357,PRJEB12357,ERP013827,NULL,55,430,0,"2,712,604,422,728,510","Ten individuals with metabolic syndrome underwent a single faecal microbiota transplantation (FMT): 5 of which were allogenic, the other 5 autologous. Stool samples were collected before FMT (day 0) and days 2, 14, 42 and 84 after FMT; and from the donor before FMT. Metagenomic shotgun sequencing was performed on all samples.",2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
9,PRJEB12947,PRJEB12947,ERP104200,NULL,1,2,0,"2,906,947,627,306,050",EMG produced TPA metagenomics assembly of the Roux-en-Y gastric bypass surgery of morbidly obese patients shows swift and persistent changes of the individual gut microbiota (GBP) data set,2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
10,PRJEB13870,PRJEB13870,ERP015450,NULL,196,196,0,28143587,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
11,PRJEB15257,PRJEB15257,ERP016968,NULL,15,15,0,28149696,"These samples were generated to quantify and interrogate the antibiotic resistome within a cohort of premature infants, using shotgun metagenomic sequencing.",2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
12,PRJEB15418,PRJEB15418,ERP017148,NULL,71,142,0,28222761,"Autism Spectrum Disorders (ASDs) are neurodevelopmental disorders characterized by social and behavioural impairments. In addition to neurological symptoms, ASDs subjects frequently suffer from gastrointestinal abnormalities, thus implying a role of the gut microbiota in ASDs gastrointestinal physiology. Here we characterized the gut microbiota in a cohort of autistic individuals demonstrating the presence of an altered microbial community both at bacterial and fungal level. We observed a reduced incidence of Bacteroidetes in the ASDs group with Collinsella, Corynebacterium, Dorea, Haemophilus and Lactobacillus being the bacterial taxa characterizing the gut microbiota of the ASDs cohort. Furthermore constipation has been associated with different bacterial patterns in autistic and neurotypical subjects, with constipated autistic individuals characterized by high levels of putative pro-inflammatory bacterial taxa belonging to Escherichia/Shigella and Clostridium cluster XVIII. The finding that, besides the bacterial gut microbiota, also the gut mycobiota contribute to the intestinal dysbiosis associated with autism open the possibility for new potential interventions strategies aimed at the relief of gastrointestinal symptoms in ASDs which take into account also fungal component of the gut microbiota",2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
13,PRJEB1775,PRJEB1775,ERP001956,NULL,44,53,0,28934976,Diagnostic Metagenomics: A Culture-Independent Approach to the Investigation of Bacterial Infections,2021-01-21 12:15:07 UTC,2021-01-21 12:15:07 UTC
